epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35102,0.88413,1.91415,1.11909,0.98262,0.6426,0.95984,0.79932,0.69344,2.28959,1.06639,0.00032,0.00032,0.00032
2,10.1117,0.99536,1.28566,1.16598,0.97331,0.82869,0.92314,0.6746,0.94372,1.6333,1.16778,0.00063822,0.00063822,0.00063822
3,13.8034,0.95546,1.15539,1.10498,0.85942,0.73864,0.79641,0.49761,1.00301,1.41741,1.31926,0.000934,0.000934,0.000934
4,19.3007,0.97968,1.12888,1.15727,0.94586,0.79545,0.87469,0.63181,1.11118,1.51913,1.56217,0.00120734,0.00120734,0.00120734
5,22.8651,0.96734,1.11777,1.13631,0.95585,0.81818,0.91602,0.65376,0.97753,1.55647,1.26465,0.00145824,0.00145824,0.00145824
6,26.6022,0.98709,1.12595,1.15168,0.82249,0.78985,0.86864,0.55762,1.43464,2.0237,1.64472,0.00167,0.00167,0.00167
7,31.2449,0.94886,1.09728,1.15217,0.78058,0.85227,0.84423,0.52934,1.34156,1.61444,1.51907,0.001604,0.001604,0.001604
8,35.6336,0.94102,1.03698,1.13757,0.93738,0.875,0.94618,0.66143,1.1984,1.6557,1.47773,0.001538,0.001538,0.001538
9,39.2134,0.93234,0.98696,1.11702,0.92669,0.92045,0.96812,0.67587,0.84443,1.03661,1.09062,0.001472,0.001472,0.001472
10,42.8175,0.97607,1.05826,1.14717,0.8704,0.91582,0.94585,0.62622,1.03437,1.24406,1.17761,0.001406,0.001406,0.001406
11,48.4362,0.89112,0.97221,1.10135,0.96223,0.93182,0.97878,0.79263,0.75247,1.03029,1.04998,0.00134,0.00134,0.00134
